symbol	CSC1_SC2	CSC1_SC3	CSC1_DC2	CSC1_DC3
ABCB5	0	0	0	0
ABCB6	2.9797	3.1067	2.99859	3.31475
ABCB7	3.96703	3.8297	3.23208	3.44032
ABCB8	3.74075	3.38469	3.59977	3.71035
ABCB9	1.94755	2.17687	1.54158	1.64208
ABCC1	3.17583	3.11752	2.82449	3.24587
ABCC10	2.71507	3.76397	2.66451	2.82286
ABCC11	0.53388	0.709781	0.536465	0.509366
ABCC12	0.00713369	0.0141306	0	0
ABCC13	0.479601	0.673667	0.702227	0.632496
ABCC2	5.69244	6.13673	5.58819	5.83911
ABCC3	3.93772	3.84849	3.59553	3.45888
ABCC4	2.51649	2.57058	1.51469	2.68463
ABCC5	4.01715	3.97879	3.13125	2.89864
ABCC5-AS1	3.23864	3.2041	1.87058	2.20793
ABCC6	1.07454	0.54646	0.992052	0.87628
ABCC6P1	1.08346	0.721515	1.17265	0.673709
ABCC6P2	6.09822	6.17327	6.86205	5.83926
ABCC8	0.0110937	0.189671	0.108429	0.0110565
ABCC9	0.0118224	0.0117379	0	0.0234701
ABCD1	3.2849	3.26102	4.06951	4.26754
ABCD2	0	0	0	0
ABCD3	4.32809	4.70401	3.89098	4.64727
ABCD4	4.17427	3.45177	3.82008	3.47768
ABCE1	5.28557	5.38227	4.80709	4.83854
ABCF1	5.50457	5.56749	4.87757	5.39476
ABCF2	4.50228	4.71764	4.1183	4.57003
ABCF3	4.97284	4.98638	4.45043	4.64487
ABCG1	0.129728	0.241936	0.198654	0.381422
ABCG2	2.94064	3.40561	2.63247	3.90455
ABCG4	0	0.0190101	0	0
ABCG5	0.122765	0.0908215	0.221885	0.00670591
ABCG8	0.0206534	0.0137032	0.021597	0.00689418
ABHD1	1.43808	1.20263	1.64241	1.06675
ABHD10	2.26236	2.18988	2.42319	2.56378
ABHD11	6.48021	6.20308	6.43408	6.03382
ABHD12	5.52407	5.64623	5.47994	5.73584
ABHD12B	0	0	0	0
ABHD13	2.70384	2.85617	2.47869	2.45817
ABHD14A	2.23244	1.85014	2.57186	2.34769
ABHD14A-ACY1	5.69807	5.21886	5.17208	5.07492
ABHD14B	4.23876	3.91974	4.16371	3.891
ABHD15	2.02891	1.73271	2.45752	2.70846
ABHD16A	5.31168	5.09159	5.23928	5.2719
ABHD16B	1.37109	1.37273	1.71958	1.49862
ABHD17A	4.12493	3.93654	4.37028	4.10674
ABHD17B	2.66545	2.70634	1.43889	1.91758
ABHD17C	5.2845	5.47403	4.5056	4.76994
ABHD2	4.35599	4.52534	3.73419	3.99646
ABHD3	4.0194	4.04616	4.09033	4.56447
ABHD4	3.10545	2.81798	3.31547	4.15878
ABHD5	1.5886	1.874	1.32583	1.59222
ABHD6	1.43695	1.38122	1.21148	2.11218
ABHD8	0.527328	0.624363	0.560118	0.767585
ABI1	4.48825	4.53863	4.09259	4.53405
ABI2	2.03332	2.17089	1.67152	1.98799
ABI3	0	0.0343836	0	0
ABI3BP	0.0447427	0.0602484	0.0214469	0.0445946
ABL1	2.68528	2.61337	3.00314	2.71124
ABL2	0.904698	1.22115	0.761902	1.29076
ABLIM1	4.42491	4.53312	3.8356	4.33086
ABLIM2	0.883596	1.1337	0.708674	0.809794
ABLIM3	0.745566	2.13749	0.71622	2.34274
ABO	5.94742	2.03303	2.52613	3.0879
ABP1	2.47477	2.36463	4.33674	3.97744
ABR	4.93078	5.09454	5.41771	4.97698
ABRA	0	0	0.0139697	0
ABRACL	6.48347	6.33507	6.3264	6.42894
ABT1	3.93093	3.86336	3.72143	3.47289
ABTB1	2.77542	2.57046	3.69551	3.81302
ABTB2	3.38423	4.19376	2.19098	3.99785
ACAA1	6.20282	5.96852	6.03713	6.43305
ACAA2	6.04651	5.57547	5.27145	5.88167
ACACA	3.26153	3.03595	2.22046	2.52586
ACACB	1.41693	1.40446	0.73168	0.583288
ACAD10	3.79516	3.44084	3.5613	3.24032
ACAD11	2.46103	2.14249	2.28824	2.10885
ACAD8	3.39436	3.73595	3.44842	3.41764
ACAD9	4.23016	4.21925	3.94181	3.97489
ACADL	0	0.00734932	0	0.0292862
ACADM	2.99774	3.04781	2.44552	2.72902
ACADS	5.14665	4.92886	4.91217	4.33189
ACADSB	1.95861	1.83277	1.61094	1.78372
ACADVL	8.05546	7.78448	7.57178	7.53515
ACAN	0	0.0123989	0.00436661	0.0349895
ACAP1	0.243495	0.360587	0.139473	0.106147
ACAP2	2.80749	3.01978	2.26161	2.41558
ACAP3	4.91152	4.53602	5.07723	4.30548
ACAT1	5.02182	5.34336	3.65134	4.50518
ACAT2	6.12909	5.99263	5.59305	5.61595
ACBD3	3.36988	3.71303	2.60703	3.20558
ACBD4	2.28463	1.91404	2.45808	1.77633
ACBD5	3.60912	3.61867	3.31648	3.30109
ACBD6	4.79899	4.76954	4.63825	4.28136
ACBD7	0.492301	0.469783	0.227689	0.110428
ACCS	2.75108	3.04309	3.28243	3.93379
ACCSL	0	0	0	0
ACD	2.77254	2.79938	2.79264	2.73314
ACE	0.181474	0.912983	0.344417	0.174346
ACE2	3.17263	2.26309	3.98259	4.60871
ACER1	0	0	0	0.0168288
ACER2	1.91496	1.81345	1.00385	1.53275
ACER3	1.68791	2.05947	1.41385	2.01361
ACHE	0.904378	1.02347	2.81237	2.66718
ACIN1	5.78025	5.53153	5.41963	5.16141
ACLY	5.53857	5.42344	4.90377	5.61915
ACMSD	0.219031	0.126393	0.118691	0.126858
ACN9	3.12043	2.83945	3.23403	2.70286
ACO1	3.35145	3.20755	2.5297	2.74768
ACO2	5.8579	5.80678	5.61561	5.65802
ACOT1	2.29729	1.66976	2.54169	2.19398
ACOT11	3.64804	3.74985	3.50287	3.59696
ACOT12	0	0	0	0
ACOT13	2.59833	2.40408	2.73632	2.52313
ACOT2	3.2744	2.33716	3.21365	2.94257
ACOT4	1.04781	0.905138	1.57858	2.02648
ACOT6	0	0	0.0191253	0.0362285
ACOT7	5.43328	5.24466	5.721	6.30622
ACOT8	4.33057	4.1687	4.39233	4.11433
ACOT9	4.48336	4.74457	4.07867	5.05472
ACOX1	2.49976	2.69559	2.70822	2.99968
ACOX2	0.86033	1.02141	1.32024	0.550317
ACOX3	1.18206	1.30621	1.2393	1.55932
ACOXL	0.53407	0.978175	0.147016	1.30684
ACP1	6.93526	6.78719	6.89531	6.61689
ACP2	3.19242	3.32535	2.63943	4.34134
ACP5	0.170762	0.348111	0.157053	0.814927
ACP6	3.83197	3.529	3.3096	2.82215
ACPL2	2.28326	2.05921	2.93001	2.30813
ACPP	1.17308	1.29148	0.111924	0.811159
ACPT	0.588787	1.61264	0.591953	0.433657
ACR	0.104062	0.245675	0.172663	0.116181
ACRBP	3.26171	2.50404	3.26349	1.0819
ACRC	0.674917	0.907915	0.865611	0.733603
ACRV1	0.200302	0.268726	0.323852	0.199673
ACSBG1	0.229741	0.70852	0.228408	0.141729
ACSBG2	0.0336731	0.0853678	0.0830902	0.00677498
ACSF2	2.86761	2.51883	2.99808	2.92536
ACSF3	2.2573	2.00698	2.29632	1.90118
ACSL1	4.36824	3.80054	2.95292	3.0561
ACSL3	4.87582	4.91346	3.73618	4.77522
ACSL4	1.54987	1.51804	0.90416	1.11457
ACSL5	5.58759	5.82609	5.56166	5.74335
ACSL6	0.0798767	0.136071	0.0805503	0.188799
ACSM1	0.201487	0.16865	0.126254	0.502856
ACSM2A	0.00622108	0	0	0
ACSM2B	0	0	0	0
ACSM3	4.00815	4.05849	3.17335	2.76793
ACSM4	0	0.0516919	0.0110475	0.0209792
ACSM5	0	0	0	0
ACSS1	4.62202	4.89075	4.8251	4.78892
ACSS2	6.08932	5.60078	5.95568	5.06217
ACSS3	0.00607985	0	0	0
ACTA1	0.350178	0.162631	0.384407	0.460971
ACTA2	0.232493	0.110458	0.297062	0.343322
ACTB	11.4067	11.3358	11.5407	11.8183
ACTBL2	0.0519636	0.12569	0.0137706	0.444612
ACTC1	0.0198777	0	0.00522467	0.0296159
ACTG1	10.4405	10.2617	9.98067	9.59488
ACTG1P4	0.0990285	0.0365409	0.191422	0.0184563
ACTG2	0.547867	0.535111	0.0429231	0.0937458
ACTL10	1.70536	1.42252	1.99023	1.68515
ACTL6A	5.58265	5.47957	5.77725	5.54651
ACTL6B	0.0474895	0	0	0.0119795
ACTL7A	0.025563	0.0379062	0	0.0254778
ACTL7B	0.0516008	0.0129809	0.0539321	0.076474
ACTL8	0.177308	0.29337	0.332488	0.447376
ACTL9	0	0	0	0
ACTN1	5.43003	5.16726	5.47789	6.03975
ACTN1-AS1	0.304767	0.117589	0.0631379	0.060218
ACTN2	0.0179689	0.0528738	0.0150521	0
ACTN3	0.0178532	0.0294233	0.0792127	0.0118867
ACTN4	7.64802	7.63589	7.52634	7.70532
ACTR10	4.44211	3.87789	4.22255	4.29485
ACTR1A	4.77246	4.67865	4.53043	5.23792
ACTR1B	4.54535	4.43606	4.46367	4.14986
ACTR2	6.31042	6.14653	6.11407	6.48807
ACTR3	5.41013	5.41486	4.95387	5.50476
ACTR3B	2.38026	2.31837	2.09732	2.20935
ACTR3BP2	0	0	0	0
ACTR3BP5	0	0	0	0
ACTR3C	1.39497	1.59227	1.77676	2.08024
ACTR5	3.67937	3.72289	3.65022	3.42046
ACTR6	4.54938	4.1982	3.78335	4.02952
ACTR8	1.55842	1.63045	1.24945	1.67292
ACTRT1	0	0.0252241	0	0
ACTRT2	0	0	0	0
ACTRT3	0.357687	0.472261	0.231331	0.716948
ACVR1	1.89102	2.07149	1.7056	2.17949
ACVR1B	3.33848	3.31263	3.55427	3.615
ACVR1C	0.193921	0.166356	0.132498	0.0889045
ACVR2A	1.49929	1.49506	1.57536	1.4403
ACVR2B	0.783074	0.642762	0.571965	0.486165
ACVR2B-AS1	0.303446	0.190888	0.303597	0.21067
ACVRL1	0.0353919	0.0264357	0.0139865	0.103336
ACY1	5.87329	5.38801	5.33972	5.22332
ACY3	2.07114	2.68022	3.05973	4.13229
ACYP1	4.11584	3.91006	4.41229	3.6135
ACYP2	0.666284	0.543881	1.19773	0.673966
ADA	3.82203	3.65111	2.89468	3.43286
ADAD1	0	0	0	0
ADAD2	0	0	0	0
ADAL	2.3036	2.38059	2.35327	2.21149
ADAM10	3.85247	4.062	3.30267	4.53985
ADAM11	0.378184	0.413833	0.396755	0.16208
ADAM12	0.00303164	0	0	0
ADAM15	5.66567	5.50172	5.33845	6.32125
ADAM17	3.37378	3.92587	2.4057	3.3578
ADAM18	0.00768234	0	0.0239719	0
ADAM19	0.111612	0.0524258	0.1436	0.0279357
ADAM1A	1.09528	1.22856	1.53432	1.18115
ADAM2	0	0	0	0
ADAM20	0.0773139	0.0579598	0.0543492	0.0326103
ADAM20P1	0.203993	0.0935856	0.133681	0.105257
ADAM21	0.0206611	0.0137083	0.0428913	0.0137607
ADAM21P1	0	0	0	0
ADAM22	0.0772627	0.186392	0.188465	0.124948
ADAM23	0	0	0	0
ADAM28	0.978635	1.15078	0.775282	1.37061
ADAM29	0	0	0	0
ADAM30	0	0	0	0.0122586
ADAM32	0.358194	0.0849118	0.185955	0.258954
ADAM33	0	0	0.00560655	0
ADAM3A	0	0	0	0
ADAM5	0	0	0	0
ADAM6	0	0	0	0
ADAM7	0	0	0	0
ADAM8	1.62498	1.45029	1.68076	4.11213
ADAM9	4.96073	5.15712	3.91156	5.88021
ADAMDEC1	0	0	0	0
ADAMTS1	0	0.0234758	0.0082882	0.0235652
ADAMTS10	0	0.0257492	0.0271162	0
ADAMTS12	0.00372532	0.00738779	0	0.0760304
ADAMTS13	0.640774	0.502193	0.838728	0.249134
ADAMTS14	0.0449039	0.129828	0.082032	0.0979984
ADAMTS15	2.22878	2.96716	1.88216	1.10385
ADAMTS16	0.00741121	0.0824344	0.0231304	0.735278
ADAMTS17	1.13069	1.19633	1.3524	1.34512
ADAMTS18	0	0	0	0.00931384
ADAMTS19	0	0	0	0
ADAMTS2	0.0163234	0.00542258	0	0
ADAMTS20	0.117562	0.0564826	0.0399029	0.0254734
ADAMTS3	0	0.00628875	0	0.00945895
ADAMTS4	0.00425942	0.0168418	0.0177388	0.0084778
ADAMTS5	0	0	0	0
ADAMTS6	0.0911336	0.0569207	0.0445185	0.0764894
ADAMTS7	0.0365584	0.016613	0.00702465	0.0397043
ADAMTS8	0.0100545	0	0.0313196	0.0396722
ADAMTS9	0.017583	0.104047	0.0746956	1.21404
ADAMTS9-AS2	0	0.0163757	0	0
ADAMTSL1	0	0	0.0102453	0
ADAMTSL2	0.141603	0.328807	0.356685	0.6048
ADAMTSL3	0	0	0	0
ADAMTSL4	1.07921	0.770036	1.23991	3.71619
ADAMTSL5	2.60609	2.4536	3.23541	3.09236
ADAP1	5.45106	5.52773	5.70514	5.6976
ADAP2	1.50849	0.825817	0.897378	0.559406
ADAR	4.47461	4.48035	4.12353	5.08752
ADARB1	0.844435	0.741592	0.729094	0.742224
ADARB2	0	0.00217573	0	0
ADARB2-AS1	0	0	0	0
ADAT1	1.08395	1.15592	0.494725	0.754764
ADAT2	2.30365	2.02463	2.36289	1.85489
ADAT3	2.04797	1.74592	2.4308	2.08756
ADC	0.16015	0.136292	0.143245	0.0659907
ADCK1	2.44749	2.06862	2.54219	2.02683
ADCK2	3.15903	2.99	2.72857	2.82164
ADCK3	3.96189	3.82601	4.07858	3.43313
ADCK4	3.70117	3.73565	3.1946	3.25373
ADCK5	4.32904	4.43095	4.75291	3.92332
ADCY1	0.0205528	0.0589646	0.00463242	0
ADCY10	0.029466	0.0110409	0.0684151	0.0329973
ADCY10P1	0.514925	0.686648	0.731008	0.546962
ADCY2	0	0.00558858	0	0
ADCY3	4.47931	4.26054	4.28656	4.26121
ADCY4	0.733877	0.683716	0.750064	0.196124
ADCY5	0.0622738	0.0647159	0.130243	0.10763
ADCY6	3.2696	3.26094	3.62922	3.6103
ADCY7	1.48159	1.96061	1.35779	1.99965
ADCY8	0	0	0	0
ADCY9	1.23733	1.90184	1.35059	1.5829
ADCYAP1	0	0	0	0
ADCYAP1R1	0	0	0	0
ADD1	3.92161	3.99841	3.56469	4.29566
ADD2	0	0	0	0
ADD3	5.69864	5.52027	5.23236	4.93012
ADGB	0	0	0	0
ADH1A	1.03585	2.55662	3.59939	0.71966
ADH1B	1.83568	3.32663	4.06663	1.74063
ADH1C	3.64336	5.11597	5.86373	3.53594
ADH4	0.208312	0.063477	1.00144	0.0367527
ADH5	5.26535	5.10762	4.94213	4.9283
ADH6	1.63958	1.59619	2.27878	0.624766
ADH7	0	0.465861	0.290534	0.0600636
ADHFE1	0.0943607	0.0192343	0.117488	0.0849194
ADI1	5.48957	5.52291	5.91411	6.11952
ADIG	0.0472165	0	0	0.0700271
ADIPOQ	0	0	0	0
ADIPOQ-AS1	0	0	0	0
ADIPOR1	4.86366	4.93309	4.64314	5.15164
ADIPOR2	6.14417	6.1405	4.66392	4.85112
ADIRF	7.09036	6.67184	7.2986	6.83998
ADK	5.24854	4.75502	4.71495	4.9983
ADM	3.91557	4.31499	3.24616	4.84114
ADM2	1.17301	1.42281	1.46702	2.31149
ADM5	2.66379	2.0444	3.77214	2.65832
ADNP	4.56383	4.76055	3.61354	4.03105
ADNP2	3.5823	3.49909	2.76185	2.68194
ADO	2.64989	2.79885	2.42722	2.3161
ADORA1	0.012606	0.0187334	0.0327359	0.0496118
ADORA2A	1.56645	1.59787	1.52069	1.1691
ADORA2A-AS1	0.902933	1.05625	0.916213	0.62465
ADORA2B	3.23455	4.20207	2.36883	1.95034
ADORA3	0	0	0	0
ADPGK	4.24636	4.56873	4.31215	4.41058
ADPGK-AS1	0.716142	1.0277	0.270383	0.714242
ADPRH	0	0.0159164	0.0766191	0.371002
ADPRHL1	1.22295	1.15236	0.90549	0.56301
ADPRHL2	4.34665	4.53932	3.94306	4.1916
ADPRM	2.37674	2.12687	1.70857	1.83046
ADRA1A	0	0	0	0
ADRA1B	0	0	0	0.0243065
ADRA1D	0.0410002	0.118838	0.0428596	0.205676
ADRA2A	0.280917	0.675896	0.92295	0.775641
ADRA2B	0.103686	0.208827	0.0972604	0.0715053
ADRA2C	0.0187531	0.0186194	0.0196104	0
ADRB1	0.0631639	0.284186	0.147532	0.231378
ADRB2	0.202315	0.349383	0.0557068	1.0181
ADRB3	0	0	0	0
ADRBK1	5.38924	5.58522	5.39099	5.30881
ADRBK2	0.798929	0.926166	0.638168	0.967788
ADRM1	7.29697	7.44089	7.45944	7.54823
ADSL	6.32855	6.16495	5.78306	5.86245
ADSS	4.059	4.17905	3.89949	4.21846
ADSSL1	3.42314	3.27103	3.35965	2.25372
ADTRP	2.74886	2.63267	3.70755	5.2463
AEBP1	0.0749045	0.103927	0.0327406	0.0789328
AEBP2	3.20242	3.3318	2.72805	2.68924
AEN	4.91598	5.54145	3.89945	3.87289
AES	6.34881	6.32589	7.32021	6.90501
AFAP1	1.23018	1.3673	0.975214	1.68523
AFAP1-AS1	0.152161	0.327183	0.106899	0.370854
AFAP1L1	0	0.00434921	0	0
AFAP1L2	0.124596	0.198024	0.550932	2.89605
AFF1	2.4122	2.39784	1.43151	1.65445
AFF2	0.00537902	0.0053405	0.00281581	0.00268298
AFF3	0.00679695	0.00450237	0	0
AFF4	2.84232	3.21895	1.77143	2.57588
AFG3L1P	1.93772	1.76743	2.10418	1.96605
AFG3L2	6.01463	6.38806	5.65539	6.42973
AFM	0	0	0.00964703	0.0183277
AFMID	3.61155	3.41064	3.12248	2.79499
AFP	0	0.0790531	0.170283	0
AFTPH	4.48113	4.7332	3.75323	4.04805
AGA	2.87885	2.59733	2.47938	2.65159
AGAP1	2.57336	2.63598	1.54827	2.02156
AGAP11	0.828165	1.09535	0.910015	0.930807
AGAP2	1.43081	1.63423	1.60202	1.79804
AGAP3	3.7031	3.36258	4.20608	4.04015
AGAP4	3.12154	3.17803	3.48564	3.09702
AGAP5	1.53115	1.57601	1.93647	1.6345
AGAP6	3.25176	3.28247	3.49084	2.78356
AGAP7	3.11014	2.86341	3.12913	2.74702
AGAP8	4.78528	4.28278	4.89384	4.31723
AGAP9	2.79832	2.62598	3.214	2.87
AGBL1	0.010542	0.0156717	0	0
AGBL2	0.373941	0.298725	0.533544	0.592702
AGBL3	0.399488	0.225489	0.115608	0.325304
AGBL4	0	0	0.0192779	0.0721302
AGBL5	3.6396	3.68318	3.00275	3.34656
AGER	2.08324	1.92659	2.58859	2.35533
AGFG1	3.31907	3.76865	2.84686	3.43795
AGFG2	2.38254	2.53939	2.52733	2.57192
AGGF1	2.85986	2.75167	2.85391	2.2434
AGK	3.69249	3.47073	3.65776	3.59728
AGL	2.19403	2.03701	1.56775	1.53963
AGMAT	3.81691	3.40381	3.60604	3.09976
AGMO	0.283756	0.62727	0.295565	0.400305
AGO1	1.84254	1.93018	1.63554	1.8811
AGO2	3.11369	3.33548	2.21666	2.55764
AGO3	2.0924	2.37382	1.64876	1.93991
AGO4	0.999756	1.00885	0.781786	0.913948
AGPAT1	3.3754	3.3343	3.39694	3.49058
AGPAT2	6.05813	6.15036	6.67795	6.36463
AGPAT3	3.50063	3.57895	3.60507	4.05246
AGPAT4	0.217315	1.06647	0.0857215	0.173763
AGPAT4-IT1	0.0296433	0.310874	0.0207359	0.00991559
AGPAT5	3.65451	3.84557	3.25187	3.13478
AGPAT6	3.84814	3.81429	3.50587	4.04429
AGPAT9	3.02018	3.90014	2.18731	2.45248
AGPHD1	2.71805	2.8804	2.44286	2.39186
AGPS	3.96147	3.64967	3.32601	3.66427
AGR2	10.0321	10.0522	8.94888	8.0543
AGR3	7.9967	7.5939	7.04478	5.39477
AGRN	4.44178	4.32472	5.18853	6.0578
AGRP	0.0475813	0.262723	0.275537	0
AGT	0.669536	0.756846	1.31907	0.860838
AGTPBP1	2.62144	2.34338	2.12113	2.25658
AGTR1	0	0	0	0
AGTR2	0	0	0	0
AGTRAP	3.29565	2.93686	3.31671	3.17849
AGXT	0.0566909	0.142026	0.047591	0
AGXT2	0.0152796	0	0	0
AGXT2L1	0	0	0	0
AGXT2L2	4.12925	3.98363	4.30923	4.13887
AHCTF1	3.12825	3.45671	2.93199	2.77447
AHCTF1P1	2.12055	2.50341	1.43124	1.60543
AHCY	7.47936	7.57805	6.96882	7.10269
AHCYL1	5.8643	5.5695	4.73259	5.1337
AHCYL2	4.31347	3.90639	3.9639	3.43554
AHDC1	1.50673	1.98406	1.40601	1.79828
AHI1	2.5449	2.4127	2.00914	1.95312
AHNAK	4.16448	5.00223	3.17775	4.58565
AHNAK2	0.714172	1.17682	1.39129	2.528
AHR	4.85614	4.81317	2.99233	3.13448
AHRR	1.42557	1.92915	1.42232	1.3953
AHSA1	7.59569	7.03034	7.20346	6.89449
AHSA2	4.45378	4.62967	4.56136	4.45913
AHSG	0.0462416	0.0345726	0.0483348	0
AHSP	0	0.0707522	0	0
AICDA	0	0	0	0.0065766
AIDA	3.1737	2.85091	3.35925	3.5497
AIF1	0.172901	0.354002	0.180382	0.517471
AIF1L	0.994513	1.44196	1.01897	1.4552
AIFM1	6.31742	5.96469	5.92636	5.78821
AIFM2	2.78111	2.7243	3.08776	3.63973
AIFM3	1.90322	1.72542	2.01515	0.576469
AIG1	3.48671	3.2385	3.93344	2.60593
AIM1	4.05197	3.66194	3.3158	2.92777
AIM1L	3.33023	3.5056	3.41117	4.79521
AIM2	0	0	0.0258184	0.533379
AIMP1	5.43256	5.52405	5.30304	5.22183
AIMP2	6.00504	6.20077	6.11934	6.23158
AIP	4.78084	4.85601	4.82089	4.97115
AIPL1	0	0	0	0
AIRE	0.0782195	0.136935	0.151508	0.130135
AIRN	0.133085	0.116782	0.0262746	0.0455882
AJAP1	0	0	0	0
AJUBA	3.50129	2.726	3.40243	4.30491
AK1	4.40461	4.03655	4.14933	3.5994
AK2	5.60555	5.51842	5.42986	5.19591
AK3	4.12596	3.91574	3.75249	3.50655
AK4	3.45041	3.36133	3.7712	3.94658
AK5	0	0.00465369	0	0.00467154
AK7	0.972763	0.563494	0.911531	0.188099
AK8	0.141948	0.12509	0.0540452	0.0683166
AK9	0.749545	0.543542	0.689803	0.232336
AKAP1	5.21198	5.13672	4.9909	4.52842
AKAP10	2.38995	2.5324	2.13183	2.288
AKAP11	1.94957	1.91859	1.73018	1.68121
AKAP12	0.228496	0.609966	0.261321	2.40726
AKAP13	2.85357	3.82559	2.53483	3.00288
AKAP14	0.185325	0	0.022803	0
AKAP17A	4.04511	4.39416	3.46928	3.03385
AKAP2	3.39502	4.05729	1.63007	3.77937
AKAP3	1.07608	1.03354	0.836932	1.17714
AKAP4	0.0871139	0.0684016	0.019989	0.0253463
AKAP5	0.383029	0.16296	0.530134	0.441648
AKAP6	0.276042	0.136412	0.168426	0.0976826
AKAP7	1.5425	1.49928	1.29387	0.804091
AKAP8	4.17214	4.49115	3.8614	4.05791
AKAP8L	5.71828	5.88885	4.95348	4.74498
AKAP9	2.4158	2.57044	1.75491	2.00583
AKIP1	3.56762	3.59694	3.25385	3.42467
AKIRIN1	4.44229	5.05768	3.32467	4.05951
AKIRIN2	4.68086	4.82355	4.2027	4.06515
AKNA	1.65752	1.70481	1.36773	0.931878
AKNAD1	0	0.049542	0.0392878	0.0436059
AKR1A1	6.8207	6.53392	7.15998	6.46553
AKR1B1	0.440766	0.295618	0.309872	0.56055
AKR1B10	6.68634	5.12662	6.47689	4.38435
AKR1B15	5.93743	4.27844	5.97168	3.55226
AKR1C1	6.33307	5.51056	6.88181	5.35463
AKR1C2	6.27856	5.40498	6.76484	5.33468
AKR1C3	7.6788	6.96326	8.22042	6.78134
AKR1C4	4.43793	4.13926	5.10364	3.17335
AKR1C6P	0.150592	0	0.655761	0
AKR1CL1	4.14362	3.93106	4.66047	3.019
AKR1D1	0.0535448	0.0201681	0	0.0135282
AKR1E2	0	0	0	0.0113031
AKR7A2	6.16842	5.63818	5.834	4.8769
AKR7A2P1	0.925777	1.16905	0.755427	1.30754
AKR7A3	8.29459	7.70565	8.14972	6.80115
AKR7L	6.30227	5.8532	6.24932	4.85125
AKT1	5.64551	4.9809	6.01919	5.78209
AKT1S1	4.66045	4.52662	4.59717	4.54638
AKT2	4.14878	4.02589	4.06443	3.89691
AKT3	0.572918	0.419383	0.774728	0.739796
AKTIP	3.34209	3.46892	3.5315	3.76767
ALAD	3.97676	3.91754	3.78269	3.48373
ALAS1	4.5248	4.64272	3.69351	4.83917
ALAS2	0.0360127	0.07065	0.0652544	0.0881119
ALB	0	0	0.0255792	0
ALCAM	3.79873	3.77237	3.08154	3.70918
ALDH16A1	4.3977	4.13123	4.4685	4.17736
ALDH18A1	5.35306	5.29407	5.4944	5.1118
ALDH1A1	7.61178	7.6467	7.6911	7.70043
ALDH1A2	0	0	0.011038	0.0209613
ALDH1A3	2.96723	4.77484	2.9565	6.71709
ALDH1B1	3.6437	3.61525	3.85132	4.08329
ALDH1L1	0.238986	0.0542641	0.199214	0.17955
ALDH1L1-AS1	0.159942	0	0.243618	0.196683
ALDH1L1-AS2	0	0.0157097	0	0.00790639
ALDH1L2	2.35377	1.54409	0.832032	1.50275
